Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	23:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	23:30:00:000	3.13512e-308	25.5	11.9515	0.0993028	97.6714	-589.859	25.1496	30.2455	30.3389	32.1948	 18
DATA	2015-12-01	23:31:00:000	3.13512e-308	25.5	11.9504	0.0794423	97.6765	-587.277	25.1528	30.2486	30.3375	32.0347	  0
DATA	2015-12-01	23:32:00:000	3.13512e-308	25.5	11.9462	0.119163	97.6078	-611.507	25.1128	30.2437	30.3361	32.1056	170
DATA	2015-12-01	23:33:00:000	3.13512e-308	25.5	11.9501	0.0794423	97.639	-600.187	25.1636	30.2444	30.3274	32.1968	189
DATA	2015-12-01	23:34:00:000	3.13512e-308	25.5	11.9458	0.119163	97.6205	-593.037	25.1013	30.2368	30.3309	32.0752	176
DATA	2015-12-01	23:35:00:000	3.13512e-308	25.5	11.9506	0.0794423	97.6409	-593.632	25.1153	30.2215	30.3285	32.0327	231
DATA	2015-12-01	23:36:00:000	3.13512e-308	25.5	11.9462	0.0397211	97.6123	-590.058	25.0937	30.2073	30.3285	31.9354	238
DATA	2015-12-01	23:37:00:000	3.13512e-308	25.5	11.9494	0.0595817	97.6301	-582.908	25.0931	30.2246	30.3344	31.8969	  6
DATA	2015-12-01	23:38:00:000	3.13512e-308	25.5	11.949	0.0595817	97.5818	-565.033	25.0766	30.2125	30.3403	31.8482	201
DATA	2015-12-01	23:39:00:000	3.13512e-308	25.5	11.9485	0.0993028	97.4305	-584.099	25.0073	30.2128	30.3413	31.907	194
DATA	2015-12-01	23:40:00:000	3.13512e-308	25.5	11.9492	0.0794423	97.4611	-573.772	25.0136	30.2139	30.3452	32.0428	230
DATA	2015-12-01	23:41:00:000	3.13512e-308	25.5	11.9497	0.0595817	97.5417	-580.921	25.0696	30.2021	30.3469	32.059	202
DATA	2015-12-01	23:42:00:000	3.13512e-308	25.5	11.9504	0.0794423	97.5742	-595.022	25.0797	30.1955	30.3434	32.209	191
DATA	2015-12-01	23:43:00:000	3.13512e-308	25.5	11.9499	-0.0397211	97.6689	-587.078	25.1439	30.2014	30.3403	32.211	237
DATA	2015-12-01	23:44:00:000	3.13512e-308	25.5	11.9501	0	97.6943	-565.629	25.196	30.1872	30.3406	31.9901	 46
DATA	2015-12-01	23:45:00:000	3.13512e-308	25.5	11.9504	-0.0198606	97.4725	-572.183	25.1147	30.1772	30.3292	32.0164	 24
DATA	2015-12-01	23:46:00:000	3.13512e-308	25.5	11.9508	-0.0794423	97.4395	-592.838	25.0632	30.1664	30.3048	32.1279	 45
DATA	2015-12-01	23:47:00:000	3.13512e-308	25.5	11.9499	-0.0397211	97.4966	-550.336	25.1026	30.1647	30.2625	32.0712	 30
DATA	2015-12-01	23:48:00:000	3.13512e-308	25.5	11.9501	-0.0397211	97.503	-555.103	25.1433	30.2108	30.2382	32.0549	206
DATA	2015-12-01	23:49:00:000	3.13512e-308	25.5	11.9499	0.0198606	97.475	-538.023	25.1299	30.2215	30.2465	32.0712	198
DATA	2015-12-01	23:50:00:000	3.13512e-308	25.5	11.9455	-0.158885	97.4324	-534.845	25.1128	30.2094	30.2361	32.1117	228
DATA	2015-12-01	23:51:00:000	3.13512e-308	25.5	11.9501	-0.198606	97.4756	-525.908	25.1566	30.2122	30.2312	32.1806	224
DATA	2015-12-01	23:52:00:000	3.13512e-308	25.5	11.9499	-0.178745	97.3848	-521.539	25.1242	30.2177	30.233	31.8361	195
DATA	2015-12-01	23:53:00:000	3.13512e-308	25.5	11.9494	-0.218466	97.2717	-534.051	25.0886	30.2142	30.2309	31.9394	239
DATA	2015-12-01	23:54:00:000	3.13512e-308	25.5	11.9497	-0.258187	97.271	-522.134	25.0715	30.216	30.2347	31.9637	136
DATA	2015-12-01	23:55:00:000	3.13512e-308	25.5	11.9499	-0.139024	97.3619	-521.141	25.0963	30.2173	30.2243	32.0387	227
DATA	2015-12-01	23:56:00:000	3.13512e-308	25.5	11.9497	-0.198606	97.3829	-516.772	25.1484	30.2146	30.2184	32.1076	253
DATA	2015-12-01	23:57:00:000	3.13512e-308	25.5	11.9499	-0.178745	97.3542	-522.929	25.1115	30.2167	30.2205	31.9536	247
DATA	2015-12-01	23:58:00:000	3.13512e-308	25.5	11.9494	-0.258187	97.2545	-530.476	25.0925	30.2309	30.2399	31.8604	255
DATA	2015-12-01	23:59:00:000	3.13512e-308	25.5	11.9501	-0.198606	97.1979	-553.117	25.0677	30.2257	30.2343	31.7307	245
