Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	22:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	22:30:00:000	3.13512e-308	25.2	11.9492	-0.198606	97.4598	-514.19	24.7753	30.226	30.2475	31.8503	141
DATA	2015-12-01	22:31:00:000	3.13512e-308	25.2	11.9504	-0.198606	97.4547	-511.807	24.7874	30.2638	30.2506	31.7246	239
DATA	2015-12-01	22:32:00:000	3.13512e-308	25.2	11.9485	-0.238327	97.5164	-503.068	24.8306	30.2156	30.2697	31.7266	238
DATA	2015-12-01	22:33:00:000	3.13512e-308	25.2	11.9504	-0.35749	97.5544	-498.302	24.8528	30.1481	30.2826	31.7631	188
DATA	2015-12-01	22:34:00:000	3.13512e-308	25.2	11.9494	-0.258187	97.585	-506.643	24.917	30.1612	30.2506	31.8401	131
DATA	2015-12-01	22:35:00:000	3.13512e-308	25.2	11.9501	-0.33763	97.5812	-515.779	24.9297	30.1907	30.235	31.8361	139
DATA	2015-12-01	22:36:00:000	3.13512e-308	25.2	11.949	-0.258187	97.4623	-509.622	24.8611	30.2243	30.2319	31.8462	183
DATA	2015-12-01	22:37:00:000	3.13512e-308	25.2	11.9485	-0.35749	97.5144	-491.946	24.8967	30.2298	30.2458	31.8199	228
DATA	2015-12-01	22:38:00:000	3.13512e-308	25.2	11.9497	-0.258187	97.5494	-482.612	24.9215	30.2305	30.2739	31.7854	  0
DATA	2015-12-01	22:39:00:000	3.13512e-308	25.2	11.9504	-0.33763	97.5424	-497.507	24.9139	30.2229	30.2815	31.7428	193
DATA	2015-12-01	22:40:00:000	3.13512e-308	25.2	11.9501	-0.377351	97.5773	-502.075	24.9386	30.2257	30.302	31.7611	168
DATA	2015-12-01	22:41:00:000	3.13512e-308	25.2	11.9501	-0.218466	97.5443	-509.622	24.9393	30.2222	30.3121	31.8077	216
DATA	2015-12-01	22:42:00:000	3.13512e-308	25.2	11.9508	-0.0595817	97.6028	-533.852	24.9749	30.2205	30.3076	31.9982	 47
DATA	2015-12-01	22:43:00:000	3.13512e-308	25.2	11.9501	-0.0595817	97.6313	-506.246	25.0213	30.218	30.2975	31.7469	228
DATA	2015-12-01	22:44:00:000	3.13512e-308	25.2	11.9483	-0.0397211	97.3689	-539.016	24.9139	30.2312	30.2979	31.753	245
DATA	2015-12-01	22:45:00:000	3.13512e-308	25.2	11.9449	-0.0198606	97.3975	-540.803	24.9672	30.2489	30.3097	31.8624	 55
DATA	2015-12-01	22:46:00:000	3.13512e-308	25.2	11.9481	0.0595817	97.4738	-534.646	24.985	30.2482	30.3073	31.8908	216
DATA	2015-12-01	22:47:00:000	3.13512e-308	25.2	11.9499	0.139024	97.4915	-529.681	25.0257	30.2222	30.3121	31.907	132
DATA	2015-12-01	22:48:00:000	3.13512e-308	25.2	11.946	-0.0198606	97.5125	-524.518	25.048	30.2402	30.3159	31.8827	183
DATA	2015-12-01	22:49:00:000	3.13512e-308	25.2	11.9497	-0.0595817	97.4915	-518.758	25.0556	30.2357	30.3208	31.9171	 55
DATA	2015-12-01	22:50:00:000	3.13512e-308	25.2	11.9455	0.0198606	97.468	-524.12	25.0619	30.2555	30.3285	31.9455	140
DATA	2015-12-01	22:51:00:000	3.13512e-308	25.2	11.9446	0.0198606	97.5099	-522.134	25.0791	30.2715	30.3198	32.0914	239
DATA	2015-12-01	22:52:00:000	3.13512e-308	25.2	11.9458	0.0397211	97.5125	-520.545	25.1153	30.2868	30.3184	32.1461	225
DATA	2015-12-01	22:53:00:000	3.13512e-308	25.2	11.9494	-0.317769	97.4464	-521.737	25.0842	30.2715	30.3302	31.9962	242
DATA	2015-12-01	22:54:00:000	3.13512e-308	25.2	11.9453	-0.33763	97.4395	-558.678	25.0861	30.2614	30.3403	32.0955	191
DATA	2015-12-01	22:55:00:000	3.13512e-308	25.2	11.9444	-0.35749	97.4871	-545.172	25.1198	30.2638	30.3337	32.059	145
DATA	2015-12-01	22:56:00:000	3.13512e-308	25.2	11.9458	-0.317769	97.3879	-543.385	25.067	30.2659	30.3243	32.2393	211
DATA	2015-12-01	22:57:00:000	3.13512e-308	25.2	11.9483	-0.35749	97.3867	-541.995	25.0397	30.2718	30.3191	32.1968	218
DATA	2015-12-01	22:58:00:000	3.13512e-308	25.2	11.9458	-0.0198606	97.4458	-554.11	25.0276	30.2739	30.3177	32.1867	252
DATA	2015-12-01	22:59:00:000	3.13512e-308	25.2	11.946	0.119163	97.5596	-555.5	25.0658	30.2791	30.3201	32.2393	 41
