Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2651
Instrument:	AIU-1552
File Type:	2
Software Version:	7.5.0
Timestamp:	11:51:33
Timezone:	Asia/Kuala_Lumpur
DATAH	Seconds	Nanoseconds	Sequence Number	Diagnostic Value	Diagnostic Value 2	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	CO2 (mg/m^3)	H2O (mmol/m^3)	H2O (g/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - Ts (K)	Cooler Voltage (V)	Vin SmartFlux (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	CO2 Signal Strength	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	1449028293	150000000	7812	255	0	2015-12-02	11:51:33:150	0.0861173	0.124829	15.7625	693.548	1234.58	22.2224	28.7325	101.143	-0.0102768	0.441851	0.0207067	304.247	2.29313	0	391.13	30.6348	24.5191	98.8794	39307	39185	38746	39351	111
DATA	1449028293	250000000	7842	255	0	2015-12-02	11:51:33:250	0.0861327	0.124525	15.766	693.705	1230.27	22.1449	28.7325	101.143	0.0756645	0.45306	0.0225749	304.154	2.29302	0	391.213	30.5275	24.5198	98.878	39303	39185	38746	39351	223
DATA	1449028293	350000000	7872	255	0	2015-12-02	11:51:33:350	0.0861358	0.12465	15.7666	693.732	1232.02	22.1764	28.7325	101.138	0.0681915	0.479216	0.0207067	304.166	2.29302	0	391.219	30.5703	24.5314	98.883	39303	39186	38748	39353	 25
DATA	1449028293	450000000	7902	255	0	2015-12-02	11:51:33:450	0.0861136	0.124679	15.7616	693.511	1232.45	22.184	28.7325	101.143	0.0719299	0.456797	0.0225749	304.148	2.29313	0	391.11	30.582	24.5571	98.8819	39294	39186	38748	39352	  1
DATA	1449028293	550000000	7932	255	0	2015-12-02	11:51:33:550	0.0861095	0.124877	15.7605	693.462	1235.23	22.2341	28.7325	101.143	0.0794029	0.45306	0.0225749	304.148	2.29313	0	391.068	30.6499	24.5936	98.8819	39290	39186	38749	39352	106
DATA	1449028293	650000000	7962	255	0	2015-12-02	11:51:33:650	0.0861071	0.124881	15.7601	693.446	1235.32	22.2358	28.7325	101.138	0.120502	0.438114	0.0250664	304.166	2.29313	0	391.08	30.6539	24.5932	98.8833	39304	39186	38749	39352	 15
DATA	1449028293	750000000	7992	255	0	2015-12-02	11:51:33:750	0.0860719	0.124518	15.7519	693.085	1230.17	22.143	28.7325	101.143	0.150398	0.45306	0.0225749	304.204	2.29313	0	390.863	30.5249	24.4591	98.8844	39318	39188	38749	39353	251
DATA	1449028293	850000000	8022	255	0	2015-12-02	11:51:33:850	0.0861182	0.124402	15.7626	693.553	1228.51	22.1132	28.7325	101.143	0.165344	0.479216	0.0213294	304.098	2.29313	0	391.117	30.4831	24.4992	98.8844	39315	39187	38749	39353	 69
DATA	1449028293	950000000	8052	255	0	2015-12-02	11:51:33:950	0.0860999	0.124398	15.7583	693.367	1228.45	22.1121	28.7325	101.138	0.195236	0.482952	0.0175929	304.148	2.29313	0	391.015	30.4818	24.5085	98.8869	39309	39187	38750	39354	124
DATA	1449028294	100000000	8097	255	0	2015-12-02	11:51:34:100	0.0860933	0.124355	15.7569	693.302	1227.85	22.1013	28.7325	101.143	0.18029	0.52779	0.0132337	304.148	2.29313	0	390.979	30.467	24.4679	98.8869	39321	39188	38750	39354	191
DATA	1449028294	200000000	8127	255	0	2015-12-02	11:51:34:200	0.0861095	0.124288	15.7607	693.473	1226.92	22.0846	28.7363	101.143	0.202709	0.535263	0.0138564	304.098	2.29313	0	391.087	30.4449	24.4695	98.892	39320	39190	38752	39356	 29
DATA	1449028294	300000000	8157	255	0	2015-12-02	11:51:34:300	0.086097	0.124326	15.7579	693.349	1227.47	22.0945	28.7325	101.143	0.1915	0.546473	0.0132337	304.098	2.29323	0	391.025	30.4591	24.4701	98.8909	39321	39189	38752	39355	184
DATA	1449028294	400000000	8187	255	0	2015-12-02	11:51:34:400	0.0860835	0.124303	15.7547	693.208	1227.14	22.0885	28.7325	101.143	0.198973	0.486689	0.0182157	304.141	2.29323	0	390.94	30.4504	24.4632	98.8909	39320	39189	38750	39355	 36
DATA	1449028294	500000000	8217	255	0	2015-12-02	11:51:34:500	0.086105	0.124331	15.7597	693.428	1227.54	22.0957	28.7363	101.143	0.213919	0.471743	0.0132337	304.098	2.29313	0	391.066	30.4604	24.4825	98.892	39314	39190	38753	39356	221
DATA	1449028294	600000000	8247	255	0	2015-12-02	11:51:34:600	0.0860777	0.124499	15.7534	693.151	1229.91	22.1385	28.7325	101.143	0.240074	0.494162	0.0169702	304.098	2.29323	0	390.912	30.5196	24.517	98.8909	39311	39190	38752	39355	 30
DATA	1449028294	700000000	8277	255	0	2015-12-02	11:51:34:700	0.0860871	0.12452	15.7555	693.24	1230.19	22.1434	28.7363	101.143	0.172817	0.512844	0.0244436	304.098	2.29313	0	390.953	30.5257	24.4974	98.8895	39315	39189	38752	39355	248
DATA	1449028294	800000000	8307	255	0	2015-12-02	11:51:34:800	0.0860759	0.124451	15.753	693.132	1229.23	22.1261	28.7363	101.143	0.213919	0.501635	0.0119882	304.141	2.29313	0	390.903	30.5027	24.5172	98.892	39312	39189	38752	39356	204
DATA	1449028294	900000000	8337	255	0	2015-12-02	11:51:34:900	0.0860948	0.1245	15.7572	693.316	1229.9	22.1381	28.7363	101.138	0.210182	0.524054	0.00638342	304.148	2.29313	0	390.986	30.5177	24.5033	98.8895	39309	39189	38752	39355	247
DATA	1449028295	0	8367	255	0	2015-12-02	11:51:35:000	0.0860956	0.124579	15.7574	693.324	1231.02	22.1584	28.7363	101.143	0.187763	0.505371	0.0138564	304.166	2.29323	0	390.995	30.546	24.5414	98.8959	39302	39191	38753	39357	166
DATA	1449028295	100000000	8397	255	0	2015-12-02	11:51:35:100	0.0860913	0.124765	15.7564	693.283	1233.66	22.2059	28.7363	101.143	0.210182	0.561419	0.0175929	304.148	2.29323	0	390.981	30.6122	24.5532	98.8934	39298	39190	38753	39356	 84
DATA	1449028295	200000000	8427	255	0	2015-12-02	11:51:35:200	0.0860786	0.12484	15.7534	693.151	1234.73	22.2251	28.7363	101.143	0.150398	0.583839	0.0225749	304.148	2.29323	0	390.904	30.6384	24.5567	98.8959	39298	39190	38753	39357	 57
DATA	1449028295	300000000	8457	255	0	2015-12-02	11:51:35:300	0.0860902	0.12483	15.7562	693.273	1234.59	22.2225	28.7363	101.143	0.165344	0.561419	0.0250664	304.166	2.29323	0	390.981	30.6355	24.5641	98.8984	39308	39191	38754	39358	 32
DATA	1449028295	400000000	8487	255	0	2015-12-02	11:51:35:400	0.0860963	0.124648	15.7576	693.334	1232	22.176	28.7325	101.143	0.150398	0.587578	0.0225749	304.148	2.29313	0	391.008	30.5708	24.5263	98.8945	39303	39191	38753	39357	157
DATA	1449028295	500000000	8517	255	0	2015-12-02	11:51:35:500	0.0860877	0.124769	15.7556	693.245	1233.72	22.2069	28.7363	101.143	0.18029	0.568893	0.0337849	304.166	2.29323	0	390.957	30.6134	24.5488	98.8959	39305	39191	38753	39357	 82
DATA	1449028295	600000000	8547	255	0	2015-12-02	11:51:35:600	0.0860963	0.124676	15.7576	693.336	1232.41	22.1834	28.7363	101.138	0.198973	0.565159	0.0306711	304.11	2.29323	0	391.014	30.5815	24.5325	98.8934	39307	39191	38754	39356	 38
DATA	1449028295	700000000	8577	255	0	2015-12-02	11:51:35:700	0.0860652	0.124683	15.7503	693.015	1232.5	22.185	28.7363	101.143	0.172817	0.553946	0.0312939	304.129	2.29313	0	390.824	30.5829	24.5303	98.892	39308	39191	38753	39356	186
DATA	1449028295	800000000	8607	255	0	2015-12-02	11:51:35:800	0.086087	0.124639	15.7554	693.237	1231.87	22.1737	28.7363	101.143	0.184027	0.52779	0.0319166	304.191	2.29313	0	390.951	30.5674	24.5234	98.8945	39309	39191	38753	39357	  5
DATA	1449028295	900000000	8637	255	0	2015-12-02	11:51:35:900	0.0860885	0.124591	15.7556	693.246	1231.18	22.1613	28.7363	101.143	0.217655	0.546473	0.0244436	304.154	2.29323	0	390.94	30.549	24.5274	98.8959	39305	39191	38754	39357	  2
DATA	1449028296	0	8667	255	0	2015-12-02	11:51:36:000	0.0860711	0.124716	15.7516	693.069	1232.94	22.1929	28.7363	101.143	0.202709	0.535263	0.0182157	304.191	2.29323	0	390.843	30.5929	24.5315	98.8959	39314	39191	38754	39357	210
DATA	1449028296	100000000	8697	255	0	2015-12-02	11:51:36:100	0.086073	0.124501	15.7522	693.096	1229.93	22.1387	28.7363	101.143	0.213919	0.557682	0.0200839	304.173	2.29313	0	390.872	30.5191	24.4978	98.8945	39305	39191	38754	39357	 45
DATA	1449028296	200000000	8727	255	0	2015-12-02	11:51:36:200	0.0860633	0.124762	15.7499	692.997	1233.62	22.2051	28.7363	101.143	0.1915	0.550209	0.0288029	304.116	2.29323	0	390.819	30.611	24.6291	98.8984	39278	39191	38755	39358	195
DATA	1449028296	300000000	8757	255	0	2015-12-02	11:51:36:300	0.0860501	0.125333	15.7466	692.85	1241.69	22.3504	28.7363	101.143	0.206446	0.576366	0.0319166	304.129	2.29313	0	390.723	30.8103	24.6898	98.8895	39271	39189	38754	39355	 47
DATA	1449028296	400000000	8787	255	0	2015-12-02	11:51:36:400	0.0860306	0.125454	15.7421	692.654	1243.41	22.3814	28.7363	101.138	0.221392	0.542736	0.0300484	304.216	2.29323	0	390.62	30.8535	24.6967	98.8934	39270	39190	38755	39356	 23
DATA	1449028296	500000000	8817	255	0	2015-12-02	11:51:36:500	0.0860341	0.125466	15.743	692.693	1243.59	22.3846	28.7363	101.143	0.198973	0.542736	0.0325394	304.197	2.29323	0	390.651	30.8587	24.6794	98.8934	39268	39189	38754	39356	 90
DATA	1449028296	600000000	8847	255	0	2015-12-02	11:51:36:600	0.0860317	0.125514	15.7425	692.67	1244.28	22.3971	28.7363	101.143	0.217655	0.542736	0.0306711	304.229	2.29323	0	390.643	30.8762	24.6903	98.8948	39272	39190	38755	39356	 45
