Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	07:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	07:30:00:000	3.13512e-308	25.2	11.952	10.7247	92.9761	-717.761	24.9361	29.8255	29.9137	30.843	 59
DATA	2015-12-02	07:31:00:000	3.13512e-308	25.2	11.951	11.0425	93.0034	-687.176	24.912	29.8286	29.9319	30.9201	 38
DATA	2015-12-02	07:32:00:000	3.13512e-308	25.2	11.9472	11.3404	92.8229	-699.092	24.8815	29.833	29.9226	30.8471	112
DATA	2015-12-02	07:33:00:000	3.13512e-308	25.2	11.952	11.7972	92.8038	-695.914	24.9297	29.8344	29.9071	30.9707	129
DATA	2015-12-02	07:34:00:000	3.13512e-308	25.2	11.9472	12.1149	92.9907	-661.357	24.9329	29.831	29.8879	31.0052	116
DATA	2015-12-02	07:35:00:000	3.13512e-308	25.2	11.9517	12.6115	93.1566	-657.583	24.9634	29.8292	29.8755	31.0721	167
DATA	2015-12-02	07:36:00:000	3.13512e-308	25.2	11.9506	13.1278	93.3129	-632.956	25.0016	29.8275	29.8779	31.1409	163
DATA	2015-12-02	07:37:00:000	3.13512e-308	25.2	11.9522	13.6442	93.2233	-635.936	24.9978	29.8351	29.8845	31.1045	166
DATA	2015-12-02	07:38:00:000	3.13512e-308	25.2	11.9474	14.0414	92.9074	-621.238	24.9488	29.8351	29.8824	30.9849	178
DATA	2015-12-02	07:39:00:000	3.13512e-308	25.2	11.9513	14.6174	92.7396	-635.538	24.9838	29.8207	29.8773	30.9991	195
DATA	2015-12-02	07:40:00:000	3.13512e-308	25.2	11.9472	15.0543	92.5573	-632.758	24.9691	29.8214	29.8738	30.9687	180
DATA	2015-12-02	07:41:00:000	3.13512e-308	25.2	11.952	15.5905	92.4441	-635.538	24.9399	29.8241	29.8704	31.0862	111
DATA	2015-12-02	07:42:00:000	3.13512e-308	25.2	11.9478	16.1268	92.7606	-602.967	25.0149	29.8443	29.8676	31.0741	170
DATA	2015-12-02	07:43:00:000	3.13512e-308	25.2	11.952	16.5439	92.8972	-605.35	25.027	29.8526	29.8718	31.0721	  7
DATA	2015-12-02	07:44:00:000	3.13512e-308	25.2	11.9515	16.8219	93.0873	-562.849	25.0715	29.8608	29.8759	31.1754	180
DATA	2015-12-02	07:45:00:000	3.13512e-308	25.2	11.9517	17.1397	93.1076	-558.28	25.0626	29.8574	29.8759	31.2524	125
DATA	2015-12-02	07:46:00:000	3.13512e-308	25.2	11.9499	17.5369	92.9716	-537.625	25.0435	29.8591	29.8755	31.1734	189
DATA	2015-12-02	07:47:00:000	3.13512e-308	25.2	11.9513	17.9738	92.6862	-555.897	25.0378	29.8529	29.8735	31.1653	196
DATA	2015-12-02	07:48:00:000	3.13512e-308	25.2	11.9522	18.5696	92.8495	-557.883	25.0893	29.8608	29.8749	31.1835	205
DATA	2015-12-02	07:49:00:000	3.13512e-308	25.2	11.9513	19.3045	92.9379	-536.434	25.1033	29.8584	29.8766	31.1592	173
DATA	2015-12-02	07:50:00:000	3.13512e-308	25.2	11.951	20.1188	92.8248	-539.016	25.0816	29.8625	29.88	31.2909	  5
DATA	2015-12-02	07:51:00:000	3.13512e-308	25.2	11.9501	20.7146	92.9341	-525.312	25.1528	29.8646	29.8869	31.4227	153
DATA	2015-12-02	07:52:00:000	3.13512e-308	25.2	11.952	20.9926	93.0173	-486.187	25.1763	29.8714	29.8937	31.3092	118
DATA	2015-12-02	07:53:00:000	3.13512e-308	25.2	11.9515	21.2309	92.793	-511.608	25.1744	29.8707	29.8996	31.299	 70
DATA	2015-12-02	07:54:00:000	3.13512e-308	25.2	11.9508	21.6282	92.645	-515.58	25.1789	29.8793	29.8982	31.3456	 83
DATA	2015-12-02	07:55:00:000	3.13512e-308	25.2	11.9504	22.0651	92.6722	-531.667	25.196	29.8814	29.8996	31.376	 69
DATA	2015-12-02	07:56:00:000	3.13512e-308	25.2	11.9465	22.6411	92.7275	-482.612	25.2196	29.8834	29.9044	31.4591	163
DATA	2015-12-02	07:57:00:000	3.13512e-308	25.2	11.9508	23.1971	92.5204	-471.887	25.2424	29.8817	29.9078	31.4895	180
DATA	2015-12-02	07:58:00:000	3.13512e-308	25.2	11.9485	23.7334	92.3284	-468.312	25.1916	29.8869	29.9068	31.4571	181
DATA	2015-12-02	07:59:00:000	3.13512e-308	25.2	11.9513	24.1505	92.134	-473.277	25.177	29.8779	29.8968	31.451	 21
