Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2651
Instrument:	AIU-1552
File Type:	2
Software Version:	7.5.0
Timestamp:	10:54:56
Timezone:	Asia/Kuala_Lumpur
DATAH	Seconds	Nanoseconds	Sequence Number	Diagnostic Value	Diagnostic Value 2	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	CO2 (mg/m^3)	H2O (mmol/m^3)	H2O (g/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - Ts (K)	Cooler Voltage (V)	Vin SmartFlux (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	CO2 Signal Strength	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	1449024896	800000000	169971522	255	1	2015-12-02	10:54:56:800	0.0864279	0.125554	15.8337	696.683	1244.78	22.4061	30.431	101.152	0.385799	0.445587	0.0269346	303.818	2.29455	0	395.057	31.0578	24.7801	98.9519	39284	39206	38752	39372	 92
DATA	1449024896	900000000	169971552	255	1	2015-12-02	10:54:56:900	0.0864607	0.12547	15.8411	697.009	1243.56	22.3841	30.4271	101.152	0.415691	0.434378	0.0269346	303.805	2.29455	0	395.216	31.0252	24.7882	98.9519	39284	39207	38753	39373	 56
DATA	1449024897	0	169971582	255	1	2015-12-02	10:54:57:000	0.0864533	0.125491	15.8395	696.94	1243.87	22.3897	30.4271	101.152	0.434378	0.423164	0.0194612	303.824	2.29465	0	395.193	31.0343	24.7864	98.9558	39283	39208	38754	39373	199
DATA	1449024897	100000000	169971612	255	1	2015-12-02	10:54:57:100	0.0864462	0.125529	15.8379	696.866	1244.41	22.3993	30.4271	101.157	0.404484	0.430641	0.0138564	303.755	2.29465	0	395.146	31.0473	24.7916	98.9533	39283	39206	38753	39372	109
DATA	1449024897	200000000	169971642	255	1	2015-12-02	10:54:57:200	0.0864701	0.125498	15.8433	697.106	1243.96	22.3913	30.4232	101.157	0.430641	0.400745	0.0200839	303.786	2.29455	0	395.27	31.0351	24.7836	98.9544	39287	39208	38752	39374	 41
DATA	1449024897	300000000	169971672	255	1	2015-12-02	10:54:57:300	0.0864893	0.125455	15.848	697.312	1243.38	22.3809	30.4232	101.157	0.423164	0.397011	0.0194612	303.774	2.29455	0	395.407	31.0223	24.7808	98.9569	39288	39208	38753	39374	 61
DATA	1449024897	400000000	169971702	255	1	2015-12-02	10:54:57:400	0.086491	0.125442	15.8484	697.328	1243.19	22.3775	30.4193	101.152	0.45306	0.415691	0.0132337	303.78	2.29455	0	395.411	31.0173	24.8014	98.9544	39281	39208	38752	39374	186
DATA	1449024897	500000000	169971732	255	1	2015-12-02	10:54:57:500	0.0865075	0.125596	15.8521	697.493	1245.37	22.4167	30.4193	101.157	0.494162	0.430641	0.0132337	303.786	2.29455	0	395.501	31.0713	24.8088	98.9583	39279	39208	38752	39374	117
DATA	1449024897	600000000	169971762	255	1	2015-12-02	10:54:57:600	0.0864932	0.125642	15.8487	697.344	1246.01	22.4282	30.4193	101.157	0.520317	0.359646	0.0132337	303.78	2.29455	0	395.409	31.0866	24.8204	98.9594	39277	39208	38754	39374	 72
DATA	1449024897	700000000	169971792	255	1	2015-12-02	10:54:57:700	0.0864762	0.125678	15.8449	697.177	1246.55	22.4378	30.4193	101.152	0.539	0.337227	0.0182157	303.805	2.29455	0	395.327	31.101	24.8075	98.9544	39282	39208	38752	39373	179
DATA	1449024897	800000000	169971822	255	1	2015-12-02	10:54:57:800	0.086497	0.125549	15.8496	697.383	1244.68	22.4043	30.4193	101.157	0.516581	0.318542	0.0182157	303.83	2.29455	0	395.421	31.0528	24.8002	98.9569	39283	39207	38753	39374	 23
DATA	1449024897	900000000	169971852	255	1	2015-12-02	10:54:57:900	0.0864868	0.125524	15.8473	697.282	1244.34	22.3982	30.4153	101.157	0.52779	0.355907	0.0107427	303.811	2.29455	0	395.372	31.0449	24.796	98.9569	39283	39208	38754	39374	 47
DATA	1449024898	0	169971882	255	1	2015-12-02	10:54:58:000	0.0864682	0.125538	15.8429	697.087	1244.53	22.4015	30.4153	101.157	0.46427	0.322281	0.0151019	303.749	2.29455	0	395.251	31.0487	24.7847	98.9569	39291	39208	38755	39373	191
DATA	1449024898	100000000	169971912	255	1	2015-12-02	10:54:58:100	0.0864375	0.125352	15.8358	696.775	1241.9	22.3541	30.4114	101.152	0.509108	0.352173	0.0132337	303.836	2.29455	0	395.072	30.9829	24.7591	98.9569	39292	39208	38755	39374	 58
DATA	1449024898	200000000	169971942	255	1	2015-12-02	10:54:58:200	0.0864394	0.125307	15.8363	696.799	1241.26	22.3427	30.4114	101.152	0.490425	0.337227	0.0101199	303.805	2.29455	0	395.092	30.9676	24.7548	98.9569	39290	39208	38755	39374	120
DATA	1449024898	300000000	169971972	255	1	2015-12-02	10:54:58:300	0.0864506	0.125396	15.8389	696.91	1242.52	22.3654	30.4114	101.157	0.512844	0.326015	0.00949717	303.805	2.29455	0	395.146	30.9983	24.777	98.9533	39286	39206	38754	39372	 78
DATA	1449024898	400000000	169972002	255	1	2015-12-02	10:54:58:400	0.0864387	0.125439	15.836	696.783	1243.11	22.376	30.4114	101.157	0.539	0.3447	0.00638342	303.83	2.29455	0	395.061	31.012	24.7691	98.9569	39289	39208	38754	39374	207
DATA	1449024898	500000000	169972032	255	1	2015-12-02	10:54:58:500	0.0864642	0.125422	15.842	697.049	1242.88	22.3719	30.4075	101.157	0.535263	0.359646	0.00887442	303.83	2.29455	0	395.226	31.0074	24.7627	98.9544	39289	39207	38754	39374	 69
DATA	1449024898	600000000	169972062	255	1	2015-12-02	10:54:58:600	0.0864507	0.125382	15.8389	696.91	1242.32	22.3617	30.4075	101.157	0.490425	0.333488	0.0101199	303.805	2.29455	0	395.141	30.9928	24.7659	98.9544	39288	39207	38754	39373	 76
DATA	1449024898	700000000	169972092	255	1	2015-12-02	10:54:58:700	0.0864338	0.125383	15.835	696.741	1242.34	22.3621	30.4075	101.157	0.490425	0.367119	0.0144792	303.805	2.29455	0	395.051	30.9937	24.7705	98.9569	39288	39208	38754	39374	 76
DATA	1449024898	800000000	169972122	255	1	2015-12-02	10:54:58:800	0.0864566	0.125435	15.8403	696.971	1243.07	22.3753	30.4075	101.152	0.490425	0.393272	0.0157247	303.768	2.29455	0	395.173	31.0114	24.7821	98.9569	39285	39208	38754	39374	113
DATA	1449024898	900000000	169972152	255	1	2015-12-02	10:54:58:900	0.086469	0.125509	15.8433	697.105	1244.14	22.3945	30.4035	101.157	0.524054	0.404484	0.0138564	303.805	2.29455	0	395.264	31.0393	24.8035	98.9569	39287	39209	38755	39374	 65
DATA	1449024899	0	169972182	255	1	2015-12-02	10:54:59:000	0.0864525	0.12548	15.8394	696.936	1243.73	22.3871	30.4035	101.157	0.524054	0.389538	0.0169702	303.818	2.29465	0	395.165	31.0287	24.7794	98.9583	39275	39208	38759	39374	218
DATA	1449024899	100000000	169972212	255	1	2015-12-02	10:54:59:100	0.0863573	0.125714	15.8173	695.963	1247.06	22.447	30.3996	101.157	0.557682	0.404484	0.0144792	303.83	2.29455	0	394.616	31.112	24.8046	98.9569	39278	39208	38758	39374	233
DATA	1449024899	200000000	169972242	255	1	2015-12-02	10:54:59:200	0.0863738	0.125657	15.8212	696.135	1246.26	22.4327	30.3996	101.157	0.568893	0.370853	0.0132337	303.849	2.29465	0	394.717	31.0925	24.8175	98.9608	39279	39208	38760	39374	139
DATA	1449024899	300000000	169972272	255	1	2015-12-02	10:54:59:300	0.0863485	0.1256	15.8152	695.87	1245.42	22.4176	30.3957	101.157	0.595051	0.404484	0.0213294	303.892	2.29465	0	394.55	31.0702	24.7694	98.9583	39286	39208	38759	39374	184
DATA	1449024899	400000000	169972302	255	1	2015-12-02	10:54:59:400	0.0863539	0.125517	15.8165	695.925	1244.25	22.3965	30.3957	101.152	0.591312	0.411957	0.0231977	303.88	2.29465	0	394.578	31.0406	24.7876	98.9583	39287	39209	38760	39374	 91
DATA	1449024899	500000000	169972332	255	1	2015-12-02	10:54:59:500	0.0863369	0.125486	15.8126	695.754	1243.81	22.3886	30.3957	101.152	0.632416	0.411957	0.0213294	303.892	2.29465	0	394.483	31.0299	24.8009	98.9608	39288	39209	38760	39375	140
DATA	1449024899	600000000	169972362	255	1	2015-12-02	10:54:59:600	0.0863495	0.125443	15.8156	695.886	1243.22	22.3779	30.3918	101.157	0.602524	0.393272	0.0219522	303.867	2.29465	0	394.564	31.0154	24.7798	98.9558	39286	39208	38758	39373	153
